no.,theta1,theta2,theta3,theta4,theta5,theta6,vfeed,vsurge,diameter
A-1,-122.981,-18.087,-26.965,180.002,63.046,-57.027,8.39,76.59,10.90
A-2,-102.55,-23.78,-35.69,64.55,-60.93,65.12,15.85,27.51,10.59
A-3,-112.706,-24.251,-27.421,-150.503,55.641,-82.716,15.96,44.62,10.59
A-4,-99.662,-21.186,-40.849,256.617,67.26,-126.046,17.75,58.12,10.71
A-5,-131.97,-7.41,-32.07,158.88,78.59,-40.02,16.71,47.95,10.79
B-1,-61.045,-15.15,-27.311,179.997,62.695,-118.954,15.51,65.08,11.09
B-2,-77.89,-19.76,-33.75,125.99,58.98,288.43,16.79,20.83,10.47
B-3,-69.608,-19.56,-28.143,334.756,-56.431,82.728,15.83,60.96,10.71
B-4,-81.087,-17.893,-38.263,-246.53,63.557,-60.035,18.81,39.5,10.53 
B-5,-45.29,8.8,-43.04,40.55,-99.69,-328.19,12.13,32.1,10.60
C-1,-63.384,2.353,-31.556,179.996,58.453,-206.614,17.02,149.25,10.44
C-2,-52.487,-10.396,-47.325,295.293,38.128,41.955,20.28,111.91,10.38
C-3,-59.173,-7.152,-33.707,201.254,36.491,-225.795,13,149.36,10.49
C-4,-51.791,-8.164,-51.434,305.055,46.537,-327.909,16.73,143.16,10.43
C-5,-67.449,17.315,-33.095,168.054,87.482,-198.754,15.09,158.75,10.61
D-1,-69.425,-14.458,-29.889,180.001,60.122,-20.575,16.21,94.95,10.59
D-2,-55.94,-35.064,-42.179,-235.107,-41.79,-321.471,20.03,90.54,10.41
D-3,-63.624,-30.449,-28.281,204.835,34.595,316.442,18.11,98.87,10.51
D-4,-55.642,-32.907,-45.322,130.425,-47.142,32.779,18.14,92.93,11.37
D-5,-72.37,-1.743,-33.769,172.865,79.1,-14.872,17.11,99.59,10.59
