deltax,deltay,deltaz
-0.000686,-0.000396,-0.000025
-0.000538,-0.000337,-0.000021
-0.000988,-0.000564,-0.000327
-0.000945,-0.000471,-0.000474
-0.001466,-0.000567,-0.000509
-0.002015,-0.000739,-0.000587
-0.001834,-0.000793,-0.000575
-0.00232,-0.001069,-0.00083
-0.00322,-0.000945,-0.001449
-0.001645,-0.000503,-0.0005
-0.00166,-0.001243,0.000129
-0.000808,-0.000664,-0.000403
-0.000218,-0.000351,-0.00019
-0.000018,-0.000383,-0.000632
-0.000001,-0.000355,-0.000767
0.00141,-0.000984,-0.000122
0.002579,-0.001569,-0.000552
0.001952,-0.000843,-0.000688
0.001329,-0.00053,-0.000978
0.000621,-0.000371,-0.000493
0.000645,-0.000468,-0.000466
0.001413,-0.000649,-0.000666
0.002007,-0.001025,-0.000887
0.002252,-0.00075,-0.001268
0.001414,-0.000363,-0.00098
0.000863,-0.00029,-0.000773
0.000493,-0.000342,-0.000499
0.001523,0.000194,-0.000674
0.001254,0.000197,-0.000505
0.00095,-0.000048,-0.000836
0.000986,0.000048,-0.000958
0.001441,-0.000193,-0.001938
0.001283,-0.000067,-0.001488
-0.000346,0.000838,-0.000811
-0.000292,0.000992,-0.001015
-0.000219,0.000299,-0.001185
0.00018,0.000288,-0.001332
-0.001197,0.000151,-0.00102
-0.001441,0.000268,-0.001445
-0.000047,-0.000071,-0.000996
-0.000066,-0.000207,-0.001301
-0.000172,0.000261,-0.001016
0.000528,0.000308,-0.001551
