Base_Fx,Base_Fy,Base_Fz
-120.2110768,-78.21523168,-14.69090881
-89.95785695,-71.69082044,-8.305564506
-217.0967197,-171.8502583,-182.8339518
-223.9409031,-180.6168592,-198.0060895
-349.5064723,19.63206678,-120.2318824
-503.2500622,47.79427548,-146.6909824
-473.7364064,52.85765967,-106.8701727
-534.9344944,54.49994778,-206.2795326
-737.9375097,52.92501608,-457.3978791
-430.8908423,46.57595134,-273.5474717
-470.6779173,-469.3040412,-346.2166737
-276.0200953,-976.224977,-575.0291184
-124.5214394,-595.2059879,-358.036625
-93.47649187,-422.6802511,-579.6257564
-134.6225951,-439.3370011,-584.9645453
416.8838242,-445.8531408,-175.852104
618.7614783,-783.1895378,-407.001901
500.0212391,-484.8680541,-520.734333
256.5339033,-331.6653951,-470.2218905
144.6145567,-232.7112563,-350.2635536
132.9040302,-278.3376216,-357.0245634
399.6714935,-75.16056646,-217.7644833
501.91958,-135.0080329,-302.5686995
662.6636406,39.20415132,-484.850673
329.9928775,-8.516725768,-331.267649
216.4766276,-5.368875604,-357.6690951
204.6137545,12.36235692,-414.2509499
457.5731893,433.78265,-295.1841696
361.8695672,314.6711714,-214.9987284
237.483396,278.9092452,-340.739137
250.8091102,272.2251115,-377.1689476
331.408543,330.8453734,-562.4732479
334.3041579,357.0667379,-599.82578
-13.20508563,571.2857226,-165.4074513
-8.694798625,810.4031394,-147.9521615
5.957336678,328.7064691,-412.4910156
52.83269541,349.0295258,-514.8733496
-213.037358,316.3249469,-509.1017291
-323.0446196,414.471095,-645.9365496
-10.6736175,61.7138463,-594.3515331
-35.57594689,67.56276701,-675.678217
-9.018172575,105.5747075,-606.3434119
65.1951642,66.82878567,-897.760084
