theta1,theta2,theta3,theta4,theta5,theta6
-1.047040472,-0.291347812,-0.504923753,0.066113072,-1.098335698,2.529313699
-1.066588159,-0.224327169,-0.521102955,-0.110112823,-1.334321666,2.223235308
-1.123136827,-0.45778241,-0.022759093,-0.256039801,-1.443875984,2.216847403
-1.121531124,-0.677170296,0.010733775,-0.265691472,-1.170400343,2.213880343
-1.184188444,0.043388885,-0.445303305,-0.398092149,-0.757315816,2.463986025
-1.117726306,0.027209683,-0.61866686,-0.081018184,-0.156817833,2.408554368
-1.016846276,0.16395623,-0.629749701,0.47193703,-0.122365034,1.783743949
-0.993109798,0.085974919,-0.469301583,0.423888115,-0.308452039,1.776500832
-0.89966487,0.068155107,-0.271939751,0.843430361,-0.966528433,1.847849892
-1.018521792,0.288118953,-0.039147735,0.260630017,-1.485955872,2.429341239
-1.178219418,-0.908059903,-0.183102492,0.284925,-1.349628204,2.117415995
-1.445429327,-0.800146196,-0.083130032,0.103620198,-1.414362466,2.421591977
-1.305890253,-0.731816555,-0.122365034,0.247644768,-1.499639253,1.66771446
-1.273130423,-0.558470454,0.285466052,0.252234983,-1.935762127,1.605092047
-1.002953455,-0.516844351,0.083548911,0.736005346,-2.067796285,1.391585919
-2.18110306,-0.354982517,-0.406138117,0.039444441,-1.181500637,3.15747515
-2.0753012,-0.749217488,-0.274627558,0.301366002,-0.808907748,2.804656841
-2.010357499,-0.391442445,-0.18229964,0.154601265,-1.344531843,2.553643588
-1.584183002,-0.480454236,-0.262864039,1.017544407,-1.414519546,1.927489266
-1.988889949,-0.529602708,0.262724412,0.203383218,-1.689723062,2.542438575
-1.920054163,-0.580775762,0.252898209,0.133011542,-1.769432249,1.928100131
-1.887049987,-0.014660766,-0.433522333,0.899472883,-1.072190666,3.020990402
-1.976777364,-0.224449342,-0.452424249,1.011296128,-0.652107368,2.681820569
-1.867100874,0.209020631,-0.288590192,0.800198555,-1.343781351,3.319563877
-1.903141923,-0.173415914,-0.34196236,0.932459606,-0.645632197,2.60841202
-2.080781534,-0.013857914,0.142034895,-0.02857104,-1.235274231,3.208421311
-2.087693038,0.429368449,0.347250708,-0.189088971,-1.910594479,4.018201724
-1.97288528,0.670363512,-0.240942703,-0.198269403,-1.325071421,4.149677376
-2.044688125,0.647604419,-0.327615754,-0.493771099,-1.280321179,4.154791191
-1.948817189,0.672004122,0.126030225,-0.106534898,-1.199477528,4.114107566
-1.948817189,0.568261751,0.092642077,-0.109135438,-1.273165329,3.473309931
-1.944960012,0.279671559,-0.051190507,-0.111788339,-0.651129984,3.321064861
-1.912898313,0.496790518,0.15234979,0.055623643,-1.187138051,3.72615578
-1.671432011,0.481990126,-0.511294204,0.251013253,-0.455356402,3.393042239
-1.646892682,0.6013881,-0.460784376,0.31927308,-0.581002655,3.771272541
-1.700840809,0.504522327,0.089727377,0.020367992,-1.011313582,3.827489596
-1.601007976,0.499792485,0.151948365,0.522202512,-1.364690395,2.878187563
-1.461468902,0.578820993,0.245480559,0.274470478,-1.552889249,3.420705708
-1.37839123,0.503422769,0.161477862,0.539917604,-1.321807656,3.622640302
-1.598459795,0.170291775,0.283144765,0.387567814,-1.644937913,3.576144731
-1.40839344,0.160168865,0.237382232,0.97366683,-1.650156448,3.540819267
-1.705465932,0.141179683,-0.055518924,0.0654673,-1.470701694,3.579652843
-1.625163333,0.089709924,-0.043545965,0.035430184,-1.612893668,1.877991728
